anio,mes,fecha_descarga,distrito_fiscal,ubicacion_especialidad,cargo,condicion,sexo,total,ubigeo_pjfs,dpto_pjfs,prov_pjfs,dist_pjfs,fecha_corte
2025,12,09/01/2026,AMAZONAS,VIOLENCIA CONTRA LA MUJER E INTEGRANTES DEL GRUPO FAMILIAR,FISCAL PROVINCIAL,PROVISIONAL,MASCULINO,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,12/01/2026
2025,12,09/01/2026,AMAZONAS,VIOLENCIA CONTRA LA MUJER E INTEGRANTES DEL GRUPO FAMILIAR,FISCAL PROVINCIAL,PROVISIONAL (Titular Promovido),FEMENINO,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,12/01/2026
2025,12,09/01/2026,AMAZONAS,VIOLENCIA CONTRA LA MUJER E INTEGRANTES DEL GRUPO FAMILIAR,FISCAL PROVINCIAL,PROVISIONAL (Titular Promovido),MASCULINO,2,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,12/01/2026
2025,12,09/01/2026,AMAZONAS,DERECHOS HUMANOS Y CONTRA EL TERRORISMO,FISCAL ADJUNTO PROVINCIAL,PROVISIONAL,FEMENINO,2,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,12/01/2026
2025,12,09/01/2026,AMAZONAS,DERECHOS HUMANOS Y CONTRA EL TERRORISMO,FISCAL ADJUNTO PROVINCIAL,PROVISIONAL,MASCULINO,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,12/01/2026
2025,12,09/01/2026,AMAZONAS,DERECHOS HUMANOS Y CONTRA EL TERRORISMO,FISCAL PROVINCIAL,TITULAR,MASCULINO,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,12/01/2026
2025,12,09/01/2026,ANCASH,AUTORIDAD NACIONAL DE CONTROL,FISCAL ADJUNTO SUPERIOR,PROVISIONAL (Titular Promovido),FEMENINO,1,020101,ANCASH,HUARAZ,HUARAZ,12/01/2026
2025,12,09/01/2026,ANCASH,AUTORIDAD NACIONAL DE CONTROL,FISCAL ADJUNTO SUPERIOR,PROVISIONAL (Titular Promovido),MASCULINO,1,020101,ANCASH,HUARAZ,HUARAZ,12/01/2026
2025,12,09/01/2026,ANCASH,AUTORIDAD NACIONAL DE CONTROL,FISCAL SUPERIOR,PROVISIONAL (Titular Promovido),FEMENINO,1,020101,ANCASH,HUARAZ,HUARAZ,12/01/2026
2025,12,09/01/2026,ANCASH,CORRUPCION DE FUNCIONARIOS,FISCAL ADJUNTO PROVINCIAL,PROVISIONAL,FEMENINO,7,020101,ANCASH,HUARAZ,HUARAZ,12/01/2026
2025,12,09/01/2026,ANCASH,CORRUPCION DE FUNCIONARIOS,FISCAL ADJUNTO PROVINCIAL,PROVISIONAL,MASCULINO,7,020101,ANCASH,HUARAZ,HUARAZ,12/01/2026
2025,12,09/01/2026,ANCASH,CORRUPCION DE FUNCIONARIOS,FISCAL ADJUNTO PROVINCIAL,TITULAR,MASCULINO,3,020101,ANCASH,HUARAZ,HUARAZ,12/01/2026
2025,12,09/01/2026,ANCASH,CORRUPCION DE FUNCIONARIOS,FISCAL ADJUNTO SUPERIOR,PROVISIONAL (Titular Promovido),FEMENINO,2,020101,ANCASH,HUARAZ,HUARAZ,12/01/2026
2025,12,09/01/2026,ANCASH,CORRUPCION DE FUNCIONARIOS,FISCAL ADJUNTO SUPERIOR,TITULAR,FEMENINO,1,020101,ANCASH,HUARAZ,HUARAZ,12/01/2026
2025,12,09/01/2026,ANCASH,CORRUPCION DE FUNCIONARIOS,FISCAL ADJUNTO SUPERIOR,TITULAR,MASCULINO,1,020101,ANCASH,HUARAZ,HUARAZ,12/01/2026
2025,12,09/01/2026,ANCASH,CORRUPCION DE FUNCIONARIOS,FISCAL PROVINCIAL,PROVISIONAL (Titular Promovido),MASCULINO,2,020101,ANCASH,HUARAZ,HUARAZ,12/01/2026
2025,12,09/01/2026,ANCASH,CORRUPCION DE FUNCIONARIOS,FISCAL PROVINCIAL,TITULAR,FEMENINO,2,020101,ANCASH,HUARAZ,HUARAZ,12/01/2026
2025,12,09/01/2026,ANCASH,CORRUPCION DE FUNCIONARIOS,FISCAL PROVINCIAL,TITULAR,MASCULINO,2,020101,ANCASH,HUARAZ,HUARAZ,12/01/2026
2025,12,09/01/2026,ANCASH,CORRUPCION DE FUNCIONARIOS,FISCAL SUPERIOR,PROVISIONAL (Titular Promovido),FEMENINO,1,020101,ANCASH,HUARAZ,HUARAZ,12/01/2026
2025,12,09/01/2026,ANCASH,CORRUPCION DE FUNCIONARIOS,FISCAL SUPERIOR,TITULAR,MASCULINO,1,020101,ANCASH,HUARAZ,HUARAZ,12/01/2026
2025,12,09/01/2026,ANCASH,EXTINCION DE DOMINIO,FISCAL ADJUNTO PROVINCIAL,PROVISIONAL,FEMENINO,1,020101,ANCASH,HUARAZ,HUARAZ,12/01/2026
2025,12,09/01/2026,ANCASH,EXTINCION DE DOMINIO,FISCAL ADJUNTO PROVINCIAL,PROVISIONAL,MASCULINO,1,020101,ANCASH,HUARAZ,HUARAZ,12/01/2026
2025,12,09/01/2026,ANCASH,EXTINCION DE DOMINIO,FISCAL PROVINCIAL,PROVISIONAL (Titular Promovido),FEMENINO,1,020101,ANCASH,HUARAZ,HUARAZ,12/01/2026
2025,12,09/01/2026,ANCASH,FAMILIA,FISCAL ADJUNTO PROVINCIAL,PROVISIONAL,FEMENINO,8,020101,ANCASH,HUARAZ,HUARAZ,12/01/2026
2025,12,09/01/2026,ANCASH,FAMILIA,FISCAL ADJUNTO PROVINCIAL,PROVISIONAL,MASCULINO,4,020101,ANCASH,HUARAZ,HUARAZ,12/01/2026
2025,12,09/01/2026,ANCASH,FAMILIA,FISCAL ADJUNTO PROVINCIAL,TITULAR,FEMENINO,6,020101,ANCASH,HUARAZ,HUARAZ,12/01/2026
2025,12,09/01/2026,ANCASH,FAMILIA,FISCAL ADJUNTO PROVINCIAL,TITULAR,MASCULINO,1,020101,ANCASH,HUARAZ,HUARAZ,12/01/2026
2025,12,09/01/2026,ANCASH,FAMILIA,FISCAL ADJUNTO SUPERIOR,TITULAR,MASCULINO,1,020101,ANCASH,HUARAZ,HUARAZ,12/01/2026
2025,12,09/01/2026,ANCASH,FAMILIA,FISCAL PROVINCIAL,PROVISIONAL,FEMENINO,1,020101,ANCASH,HUARAZ,HUARAZ,12/01/2026
2025,12,09/01/2026,ANCASH,FAMILIA,FISCAL PROVINCIAL,PROVISIONAL,MASCULINO,3,020101,ANCASH,HUARAZ,HUARAZ,12/01/2026
2025,12,09/01/2026,ANCASH,FAMILIA,FISCAL PROVINCIAL,PROVISIONAL (Titular Promovido),FEMENINO,2,020101,ANCASH,HUARAZ,HUARAZ,12/01/2026
2025,12,09/01/2026,ANCASH,FAMILIA,FISCAL PROVINCIAL,TITULAR,FEMENINO,5,020101,ANCASH,HUARAZ,HUARAZ,12/01/2026
2025,12,09/01/2026,ANCASH,FAMILIA,FISCAL PROVINCIAL,TITULAR,MASCULINO,7,020101,ANCASH,HUARAZ,HUARAZ,12/01/2026
2025,12,09/01/2026,ANCASH,FAMILIA,FISCAL SUPERIOR,TITULAR,FEMENINO,1,020101,ANCASH,HUARAZ,HUARAZ,12/01/2026
2025,12,09/01/2026,ANCASH,MATERIA AMBIENTAL,FISCAL ADJUNTO PROVINCIAL,PROVISIONAL,MASCULINO,1,020101,ANCASH,HUARAZ,HUARAZ,12/01/2026
2025,12,09/01/2026,ANCASH,MATERIA AMBIENTAL,FISCAL ADJUNTO PROVINCIAL,TITULAR,MASCULINO,1,020101,ANCASH,HUARAZ,HUARAZ,12/01/2026
2025,12,09/01/2026,ANCASH,MATERIA AMBIENTAL,FISCAL PROVINCIAL,PROVISIONAL (Titular Promovido),MASCULINO,1,020101,ANCASH,HUARAZ,HUARAZ,12/01/2026
2025,12,09/01/2026,ANCASH,MIXTA,FISCAL ADJUNTO PROVINCIAL,TITULAR,FEMENINO,6,020101,ANCASH,HUARAZ,HUARAZ,12/01/2026
2025,12,09/01/2026,ANCASH,MIXTA,FISCAL ADJUNTO PROVINCIAL,TITULAR,MASCULINO,1,020101,ANCASH,HUARAZ,HUARAZ,12/01/2026
2025,12,09/01/2026,ANCASH,MIXTA,FISCAL ADJUNTO SUPERIOR,PROVISIONAL,FEMENINO,1,020101,ANCASH,HUARAZ,HUARAZ,12/01/2026
2025,12,09/01/2026,ANCASH,MIXTA,FISCAL ADJUNTO SUPERIOR,TITULAR,MASCULINO,1,020101,ANCASH,HUARAZ,HUARAZ,12/01/2026
2025,12,09/01/2026,ANCASH,MIXTA,FISCAL PROVINCIAL,TITULAR,FEMENINO,1,020101,ANCASH,HUARAZ,HUARAZ,12/01/2026
2025,12,09/01/2026,ANCASH,MIXTA,FISCAL PROVINCIAL,TITULAR,MASCULINO,2,020101,ANCASH,HUARAZ,HUARAZ,12/01/2026
2025,12,09/01/2026,ANCASH,MIXTA,FISCAL SUPERIOR,PROVISIONAL (Titular Promovido),MASCULINO,1,020101,ANCASH,HUARAZ,HUARAZ,12/01/2026
2025,12,09/01/2026,ANCASH,PENAL,FISCAL ADJUNTO PROVINCIAL,PROVISIONAL,FEMENINO,32,020101,ANCASH,HUARAZ,HUARAZ,12/01/2026
2025,12,09/01/2026,ANCASH,PENAL,FISCAL ADJUNTO PROVINCIAL,PROVISIONAL,MASCULINO,29,020101,ANCASH,HUARAZ,HUARAZ,12/01/2026
2025,12,09/01/2026,ANCASH,PENAL,FISCAL ADJUNTO PROVINCIAL,TITULAR,FEMENINO,32,020101,ANCASH,HUARAZ,HUARAZ,12/01/2026
2025,12,09/01/2026,ANCASH,PENAL,FISCAL ADJUNTO PROVINCIAL,TITULAR,MASCULINO,36,020101,ANCASH,HUARAZ,HUARAZ,12/01/2026
2025,12,09/01/2026,ANCASH,PENAL,FISCAL ADJUNTO SUPERIOR,PROVISIONAL (Titular Promovido),FEMENINO,1,020101,ANCASH,HUARAZ,HUARAZ,12/01/2026
2025,12,09/01/2026,ANCASH,PENAL,FISCAL ADJUNTO SUPERIOR,TITULAR,FEMENINO,2,020101,ANCASH,HUARAZ,HUARAZ,12/01/2026
2025,12,09/01/2026,ANCASH,PENAL,FISCAL ADJUNTO SUPERIOR,TITULAR,MASCULINO,4,020101,ANCASH,HUARAZ,HUARAZ,12/01/2026
2025,12,09/01/2026,ANCASH,PENAL,FISCAL PROVINCIAL,PROVISIONAL,FEMENINO,6,020101,ANCASH,HUARAZ,HUARAZ,12/01/2026
2025,12,09/01/2026,ANCASH,PENAL,FISCAL PROVINCIAL,PROVISIONAL,MASCULINO,5,020101,ANCASH,HUARAZ,HUARAZ,12/01/2026
